parent.standard.length,parent.eye.size,offspring.standard.length,offspring.eye.size
37.0,1.8,31.0,1.6
41.0,1.7,34.0,1.5
31.0,1.4,29.0,1.3
52.0,2.3,51.0,2.5
54.0,2.4,37.0,1.8
46.0,2.1,33.0,1.6
50.0,2.0,35.0,1.5
40.0,1.8,42.0,2.1
43.0,1.8,35.0,1.5
42.0,1.9,37.0,1.8
48.0,2.1,29.0,1.3
48.0,2.1,33.0,1.5
34.0,1.6,38.0,1.8
30.0,1.4,38.0,1.9
34.0,1.4,36.0,1.5
43.0,1.9,50.0,2.2
38.0,1.7,38.0,1.8
51.0,2.4,35.0,1.8
51.0,2.5,34.0,1.8
30.0,1.4,32.0,1.6
34.0,1.5,50.0,2.3
44.0,2.1,47.0,2.3
45.0,2.2,51.0,2.6
37.0,1.8,48.0,2.6
54.0,2.5,52.0,2.5
47.0,2.3,44.0,2.3
44.0,1.8,49.0,2.2
53.0,2.6,45.0,2.3
53.0,2.5,42.0,2.1
50.0,2.4,48.0,2.4
44.0,2.0,45.0,2.2
35.0,1.6,42.0,2.0
48.0,2.4,50.0,2.6
31.0,1.4,54.0,2.5
48.0,2.1,38.0,1.8
41.0,1.8,48.0,2.3
41.0,2.0,48.0,2.5
52.0,2.5,48.0,2.5
52.0,2.5,41.0,2.1
49.0,2.1,36.0,1.7
35.0,1.6,43.0,2.1
39.0,1.9,52.0,2.6
40.0,1.8,31.0,1.5
47.0,2.3,51.0,2.7
50.0,2.1,31.0,1.4
36.0,1.6,42.0,1.9
36.0,1.4,30.0,1.3
54.0,2.5,54.0,2.6
41.0,1.9,42.0,2.1
48.0,2.1,28.0,1.3
31.0,1.3,32.0,1.5
54.0,2.3,49.0,2.4
31.0,1.5,51.0,2.5
34.0,1.5,38.0,1.8
39.0,1.6,29.0,1.3
41.0,1.8,33.0,1.6
36.0,1.7,48.0,2.5
44.0,2.1,54.0,2.7
30.0,1.4,52.0,2.6
37.0,1.8,45.0,2.3
45.0,1.9,53.0,2.5
43.0,2.1,29.0,1.5
38.0,1.5,47.0,2.0
30.0,1.3,32.0,1.5
50.0,2.3,45.0,2.2
45.0,1.9,43.0,2.0
40.0,1.9,39.0,1.9
30.0,1.4,37.0,1.9
40.0,1.9,45.0,2.3
47.0,2.1,38.0,1.8
53.0,2.5,44.0,2.2
29.0,1.4,52.0,2.7
40.0,1.7,42.0,1.8
52.0,2.1,48.0,2.1
50.0,2.2,43.0,2.1
35.0,1.5,37.0,1.7
29.0,1.4,38.0,2.0
33.0,1.4,31.0,1.4
38.0,1.8,39.0,2.1
49.0,2.1,49.0,2.2
39.0,1.7,51.0,2.4
49.0,2.2,52.0,2.5
50.0,2.0,39.0,1.8
46.0,1.9,48.0,2.2
44.0,2.0,40.0,1.9
33.0,1.5,31.0,1.5
32.0,1.4,31.0,1.5
48.0,2.3,49.0,2.6
28.0,1.2,54.0,2.5
49.0,2.3,36.0,1.8
34.0,1.5,39.0,1.9
31.0,1.4,31.0,1.5
49.0,2.4,31.0,1.6
40.0,1.6,35.0,1.6
43.0,1.8,35.0,1.5
50.0,2.3,37.0,1.9
54.0,2.6,30.0,1.6
40.0,2.0,32.0,1.7
35.0,1.7,53.0,2.6
48.0,2.4,42.0,2.3
