cricket_ID,population ,toxin,ID2,time,live,dead,total,group
1,A,A,1,0,406,294,700,AA
1,A,A,2,15,297,424,721,AA
1,A,A,3,30,204,512,716,AA
1,A,B,4,0,125,18,143,AB
1,A,B,5,15,121,42,163,AB
1,A,B,6,30,103,62,165,AB
2,A,A,7,0,102,6,108,AA
2,A,A,8,15,71,36,107,AA
2,A,A,9,30,62,47,109,AA
2,A,B,10,0,73,18,91,AB
2,A,B,11,15,64,25,89,AB
2,A,B,12,30,72,43,115,AB
3,A,A,13,0,54,8,62,AA
3,A,A,14,15,44,21,65,AA
3,A,A,15,30,41,26,67,AA
3,A,B,16,0,47,4,51,AB
3,A,B,17,15,40,11,51,AB
3,A,B,18,30,37,14,51,AB
4,A,A,19,0,185,62,247,AA
4,A,A,20,15,163,87,250,AA
4,A,A,21,30,144,107,251,AA
4,A,B,22,0,102,47,149,AB
4,A,B,23,15,57,89,146,AB
4,A,B,24,30,47,104,151,AB
5,A,A,25,0,75,26,101,AA
5,A,A,26,15,59,45,104,AA
5,A,A,27,30,43,62,105,AA
5,A,B,28,0,24,1,25,AB
5,A,B,29,15,22,3,25,AB
5,A,B,30,30,22,3,25,AB
6,A,A,31,0,88,11,99,AA
6,A,A,32,15,79,25,104,AA
6,A,A,33,30,65,40,105,AA
6,A,B,34,0,289,38,327,AB
6,A,B,35,15,235,112,347,AB
6,A,B,36,30,193,148,341,AB
7,A,A,37,0,268,66,334,AA
7,A,A,38,15,255,91,346,AA
7,A,A,39,30,206,137,343,AA
7,A,B,40,0,148,62,210,AB
7,A,B,41,15,124,80,204,AB
7,A,B,42,30,108,100,208,AB
8,A,A,43,0,170,11,181,AA
8,A,A,44,15,169,12,181,AA
8,A,A,45,30,159,22,181,AA
8,A,B,46,0,134,12,146,AB
8,A,B,47,15,127,21,148,AB
8,A,B,48,30,123,28,151,AB
9,A,A,49,0,65,15,80,AA
9,A,A,50,15,61,19,80,AA
9,A,A,51,30,56,24,80,AA
9,A,B,52,0,47,14,61,AB
9,A,B,53,15,27,36,63,AB
9,A,B,54,30,19,45,64,AB
10,A,A,55,0,103,51,154,AA
10,A,A,56,15,102,52,154,AA
10,A,A,57,30,98,56,154,AA
10,A,B,58,0,65,7,72,AB
10,A,B,59,15,44,28,72,AB
10,A,B,60,30,42,30,72,AB
11,B,A,61,0,127,15,142,BA
11,B,A,62,15,107,38,145,BA
11,B,A,63,30,95,45,140,BA
11,B,B,64,0,114,8,122,BB
11,B,B,65,15,65,31,96,BB
11,B,B,66,30,59,32,91,BB
12,B,A,67,0,188,9,197,BA
12,B,A,68,15,180,21,201,BA
12,B,A,69,30,159,39,198,BA
12,B,B,70,0,94,28,122,BB
12,B,B,71,15,69,55,124,BB
12,B,B,72,30,55,72,127,BB
13,B,A,73,0,144,15,159,BA
13,B,A,74,15,139,22,161,BA
13,B,A,75,30,132,33,165,BA
13,B,B,76,0,81,30,111,BB
13,B,B,77,15,48,69,117,BB
13,B,B,78,30,47,76,123,BB
14,B,A,79,0,237,13,250,BA
14,B,A,80,15,199,45,244,BA
14,B,A,81,30,200,48,248,BA
14,B,B,82,0,98,16,114,BB
14,B,B,83,15,89,37,126,BB
14,B,B,84,30,85,39,124,BB
15,B,A,85,0,174,32,206,BA
15,B,A,86,15,170,52,222,BA
15,B,A,87,30,140,88,228,BA
15,B,B,88,0,78,9,87,BB
15,B,B,89,15,65,19,84,BB
15,B,B,90,30,59,25,84,BB
16,B,A,91,0,266,29,295,BA
16,B,A,92,15,222,69,291,BA
16,B,A,93,30,220,74,294,BA
16,B,B,94,0,180,29,209,BB
16,B,B,95,15,143,60,203,BB
16,B,B,96,30,132,80,212,BB
17,B,A,97,0,156,36,192,BA
17,B,A,98,15,139,53,192,BA
17,B,A,99,30,144,55,199,BA
17,B,B,100,0,150,49,199,BB
17,B,B,101,15,104,97,201,BB
17,B,B,102,30,87,117,204,BB
18,B,A,103,0,127,6,133,BA
18,B,A,104,15,107,33,140,BA
18,B,A,105,30,100,36,136,BA
18,B,B,106,0,64,1,65,BB
18,B,B,107,15,59,9,68,BB
18,B,B,108,30,60,12,72,BB
19,B,A,109,0,238,37,275,BA
19,B,A,110,15,217,57,274,BA
19,B,A,111,30,206,69,275,BA
19,B,B,112,0,106,35,141,BB
19,B,B,113,15,58,85,143,BB
19,B,B,114,30,54,96,150,BB
20,B,A,115,0,221,34,255,BA
20,B,A,116,15,209,53,262,BA
20,B,A,117,30,202,56,258,BA
20,B,B,118,0,119,50,169,BB
20,B,B,119,15,80,85,165,BB
20,B,B,120,30,75,95,170,BB
21,B,A,121,0,116,21,137,BA
21,B,A,122,15,85,58,143,BA
21,B,A,123,30,83,60,143,BA
21,B,B,124,0,87,28,115,BB
21,B,B,125,15,72,44,116,BB
21,B,B,126,30,68,48,116,BB
22,B,A,127,0,213,13,226,BA
22,B,A,128,15,192,49,241,BA
22,B,A,129,30,184,61,245,BA
22,B,B,130,0,69,33,102,BB
22,B,B,131,15,65,42,107,BB
22,B,B,132,30,60,53,113,BB
23,B,A,133,0,125,7,132,BA
23,B,A,134,15,123,12,135,BA
23,B,A,135,30,124,16,140,BA
23,B,B,136,0,147,101,248,BB
23,B,B,137,15,110,137,247,BB
23,B,B,138,30,101,152,253,BB
24,B,A,139,0,126,41,167,BA
24,B,A,140,15,120,52,172,BA
24,B,A,141,30,117,61,178,BA
