male_ID,treatment,male_age,time_factor,mean.sperm.motility
1,with seminal fluid,2 days,0 mins,14.10666667
1,with seminal fluid,2 days,2 mins,11.06666667
1,with seminal fluid,2 days,4 mins,10.10666667
1,with seminal fluid,2 days,6 mins ,9.49
1,without seminal fluid,2 days,0 mins,7.566666667
1,without seminal fluid,2 days,2 mins,2.603333333
1,without seminal fluid,2 days,4 mins,2.716666667
1,without seminal fluid,2 days,6 mins ,2.796666667
2,without seminal fluid,2 days,0 mins,7.643333333
2,without seminal fluid,2 days,2 mins,5.276666667
2,without seminal fluid,2 days,4 mins,3.226666667
2,without seminal fluid,2 days,6 mins ,2.606666667
2,with seminal fluid,2 days,0 mins,14.15666667
2,with seminal fluid,2 days,2 mins,11.29333333
2,with seminal fluid,2 days,4 mins,10.41333333
2,with seminal fluid,2 days,6 mins ,9.653333333
3,with seminal fluid,2 days,0 mins,6.05
3,with seminal fluid,2 days,2 mins,4.743333333
3,with seminal fluid,2 days,4 mins,1.953333333
3,with seminal fluid,2 days,6 mins ,1.696666667
3,without seminal fluid,2 days,0 mins,4.17
3,without seminal fluid,2 days,2 mins,2.17
3,without seminal fluid,2 days,4 mins,1.786666667
3,without seminal fluid,2 days,6 mins ,1.616666667
4,without seminal fluid,2 days,0 mins,7.89
4,without seminal fluid,2 days,2 mins,6.05
4,without seminal fluid,2 days,4 mins,5.52
4,without seminal fluid,2 days,6 mins ,3.06
4,with seminal fluid,2 days,0 mins,7.183333333
4,with seminal fluid,2 days,2 mins,3.566666667
4,with seminal fluid,2 days,4 mins,2.193333333
4,with seminal fluid,2 days,6 mins ,1.91
5,with seminal fluid,2 days,0 mins,11.32666667
5,with seminal fluid,2 days,2 mins,9.696666667
5,with seminal fluid,2 days,4 mins,8.67
5,with seminal fluid,2 days,6 mins ,6.916666667
5,without seminal fluid,2 days,0 mins,7.373333333
5,without seminal fluid,2 days,2 mins,4.093333333
5,without seminal fluid,2 days,4 mins,4.146666667
5,without seminal fluid,2 days,6 mins ,2.61
7,with seminal fluid,2 days,0 mins,10.01333333
7,with seminal fluid,2 days,2 mins,7.936666667
7,with seminal fluid,2 days,4 mins,5.863333333
7,with seminal fluid,2 days,6 mins ,3.463333333
7,without seminal fluid,2 days,0 mins,3.13
7,without seminal fluid,2 days,2 mins,2.363333333
7,without seminal fluid,2 days,4 mins,2.166666667
7,without seminal fluid,2 days,6 mins ,2.066666667
9,without seminal fluid,5 days,0 mins,2.57
9,without seminal fluid,5 days,2 mins,1.88
9,without seminal fluid,5 days,4 mins,1.506666667
9,without seminal fluid,5 days,6 mins ,1.383333333
9,with seminal fluid,5 days,0 mins,12.61
9,with seminal fluid,5 days,2 mins,11.16666667
9,with seminal fluid,5 days,4 mins,10.36333333
9,with seminal fluid,5 days,6 mins ,9.163333333
10,with seminal fluid,5 days,0 mins,14.46666667
10,with seminal fluid,5 days,2 mins,12.72333333
10,with seminal fluid,5 days,4 mins,10.15666667
10,with seminal fluid,5 days,6 mins ,8.626666667
10,without seminal fluid,5 days,0 mins,7.25
10,without seminal fluid,5 days,2 mins,5.77
10,without seminal fluid,5 days,4 mins,3.14
10,without seminal fluid,5 days,6 mins ,3.06
11,without seminal fluid,5 days,0 mins,11.54333333
11,without seminal fluid,5 days,2 mins,10.07333333
11,without seminal fluid,5 days,4 mins,8.12
11,without seminal fluid,5 days,6 mins ,7.253333333
11,with seminal fluid,5 days,0 mins,10.90666667
11,with seminal fluid,5 days,2 mins,10.77
11,with seminal fluid,5 days,4 mins,9.89
11,with seminal fluid,5 days,6 mins ,9.336666667
12,with seminal fluid,5 days,0 mins,10.21666667
12,with seminal fluid,5 days,2 mins,7.826666667
12,with seminal fluid,5 days,4 mins,6.07
12,with seminal fluid,5 days,6 mins ,6.176666667
12,without seminal fluid,5 days,0 mins,13.10333333
12,without seminal fluid,5 days,2 mins,7.686666667
12,without seminal fluid,5 days,4 mins,5.843333333
12,without seminal fluid,5 days,6 mins ,4.156666667
13,without seminal fluid,5 days,0 mins,10.60666667
13,without seminal fluid,5 days,2 mins,7.416666667
13,without seminal fluid,5 days,4 mins,6.06
13,without seminal fluid,5 days,6 mins ,5.586666667
13,with seminal fluid,5 days,0 mins,10.17333333
13,with seminal fluid,5 days,2 mins,6.97
13,with seminal fluid,5 days,4 mins,5.54
13,with seminal fluid,5 days,6 mins ,4.853333333
14,with seminal fluid,5 days,0 mins,13.78
14,with seminal fluid,5 days,2 mins,11.49
14,with seminal fluid,5 days,4 mins,9.746666667
14,with seminal fluid,5 days,6 mins ,8.036666667
14,without seminal fluid,5 days,0 mins,12.89333333
14,without seminal fluid,5 days,2 mins,10.89
14,without seminal fluid,5 days,4 mins,9.82
